task_achievement,coherence_and_cohesion,lexical_resource,grammatical_range,ID
6.0,5.5,5.0,6.0,1
1.5,1.5,2.0,4.5,2
6.0,5.0,5.0,5.0,3
6.0,6.0,5.5,5.5,4
7.0,7.5,7.0,6.5,5
6.0,5.5,5.5,5.5,6
6.0,5.5,5.5,5.5,7
7.0,7.5,6.5,6.5,8
5.5,5.0,5.5,5.0,9
6.0,6.0,5.5,5.5,10
6.5,6.5,6.0,6.0,11
6.5,7.0,6.5,6.0,12
6.5,6.5,6.0,6.0,13
7.5,8.0,7.0,7.0,14
6.5,7.0,6.0,6.0,15
6.5,7.0,6.5,6.0,16
7.0,7.5,7.0,7.0,17
6.0,5.5,5.5,6.0,18
6.5,7.0,6.5,6.0,19
6.5,7.0,6.5,6.5,20
7.0,7.0,6.5,6.5,21
6.5,6.5,6.0,6.5,22
7.5,7.5,7.0,7.0,23
6.0,5.5,5.5,5.5,24
7.5,7.5,7.0,7.0,25
7.0,7.5,6.5,6.5,26
6.5,6.5,6.0,6.5,27
7.0,7.5,6.5,6.0,28
7.5,7.5,6.5,6.5,29
7.5,8.0,7.0,7.0,30
7.0,7.0,6.5,6.5,31
6.5,7.0,6.5,6.0,32
7.5,7.5,6.5,6.5,33
6.5,6.0,6.0,6.0,34
7.0,7.0,6.0,6.5,35
7.0,7.0,6.5,6.5,36
7.0,7.0,6.5,6.5,37
6.5,5.5,5.0,5.0,38
6.0,5.5,5.5,5.5,39
7.5,7.0,6.5,6.0,40
7.0,7.5,7.0,7.0,41
7.5,7.5,7.0,6.5,42
6.0,5.5,5.5,5.5,43
7.5,7.0,6.5,6.0,44
6.0,5.0,5.5,5.5,45
7.0,7.0,6.5,6.5,46
7.0,7.5,6.5,6.5,47
7.0,7.5,6.5,6.5,48
7.0,7.0,6.5,6.0,49
7.5,8.0,7.0,7.5,50
6.0,6.0,6.0,5.5,51
7.0,7.5,6.5,6.0,52
7.0,7.0,6.5,6.5,53
7.5,8.0,7.0,7.0,54
6.5,6.0,6.0,6.0,55
7.5,7.0,6.5,6.5,56
6.5,6.5,6.0,5.5,57
6.5,6.5,6.0,6.0,58
6.5,7.0,6.5,6.0,59
7.5,7.5,7.0,7.0,60
7.0,7.0,6.5,6.5,61
6.5,6.5,6.0,6.0,62
7.0,7.5,7.0,6.5,63
6.5,6.5,6.0,6.0,64
6.5,6.0,5.5,5.5,65
6.0,6.0,6.0,5.5,66
5.5,4.5,5.0,4.5,67
7.0,7.5,7.0,7.0,68
7.0,7.5,7.0,7.0,69
7.0,8.0,7.0,7.0,70
7.0,7.0,6.5,6.5,71
6.5,6.0,6.0,6.0,72
7.0,7.5,7.0,7.0,73
7.0,7.5,7.0,7.0,74
4.5,3.5,4.0,3.5,75
6.0,6.0,6.0,5.5,76
7.0,7.0,6.5,6.5,77
7.0,7.0,6.5,6.0,78
6.5,6.5,6.0,6.0,79
7.5,7.5,7.0,7.0,80
7.0,7.0,6.5,6.5,81
7.5,7.5,7.0,7.0,82
7.0,7.0,6.5,6.5,83
7.5,7.0,7.0,6.5,84
2.5,2.5,3.0,2.5,85
4.0,3.5,3.0,3.0,86
7.0,7.5,6.5,6.5,87
5.5,4.5,5.0,4.5,88
7.0,7.0,6.5,6.0,89
6.5,5.5,5.0,5.0,90
