task_achievement,coherence_and_cohesion,lexical_resource,grammatical_range,ID
6.7859397,6.8995304,6.079195,6.2196207,1
4.5414224,5.1545825,3.440126,3.1498249,2
5.7884216,5.670292,4.558464,4.8620977,3
5.8950906,6.503727,5.0716457,4.9764667,4
6.4258637,6.7050066,6.1486993,6.0821733,5
5.831739,6.3303475,5.6020722,5.3282886,6
6.1105947,6.683083,5.9527287,5.8921027,7
6.8844867,6.807592,6.028635,6.1599855,8
5.7526846,6.103002,4.8093066,4.881704,9
6.838056,6.679167,5.6538086,5.720957,10
6.3663025,6.620229,5.577511,5.401812,11
6.5380154,6.814317,5.7708683,6.2004914,12
7.1058116,6.746122,6.153403,5.7628922,13
7.3792524,6.931844,6.4928236,6.412347,14
6.0892067,6.4092455,5.3203974,5.7762356,15
7.093087,6.8275213,6.3067822,6.430864,16
6.1585145,6.665583,6.040785,6.608681,17
6.67768,6.8960857,5.5780334,6.073902,18
6.6463513,6.8097243,6.06796,5.4551845,19
6.3515477,6.7630577,5.8821797,5.7920294,20
6.6332364,6.4640317,5.7222676,6.087211,21
6.730169,6.721107,6.3216763,6.1495185,22
7.3998284,6.9867945,6.77685,6.767164,23
7.16429,6.803737,6.231399,6.3482184,24
6.843877,6.7139206,6.1248565,6.547139,25
6.9628644,6.978921,6.5205207,6.760084,26
6.877312,6.7939773,5.810585,6.1705713,27
6.951764,6.7062316,6.3824267,6.278916,28
7.214105,6.656664,6.470091,6.674035,29
7.305613,7.002049,6.740792,6.8308845,30
7.1669974,6.769824,6.3295803,5.6357245,31
7.0592456,6.7391505,6.2557974,6.404722,32
6.8727098,6.8767304,6.342514,6.709435,33
6.491111,6.7356853,5.9968877,6.022266,34
7.388999,6.8775506,6.5701666,6.7796903,35
6.8316936,6.8777146,6.031509,6.55313,36
6.718121,6.7852836,5.972718,6.522087,37
6.6809964,6.531694,5.531523,5.8140864,38
6.2400055,6.5230823,5.4128957,5.2580333,39
6.7862105,6.793239,5.6896057,6.323438,40
7.312111,6.9902387,6.7434044,6.746469,41
6.6187873,6.63737,5.840634,6.165619,42
6.243525,6.6295376,5.457838,5.394732,43
6.980462,6.7343116,5.9339156,6.0555553,44
6.002301,6.4866676,4.7455506,5.1866884,45
7.0232377,6.7777796,6.158204,6.408807,46
7.388458,7.023537,6.8270187,6.804743,47
7.169705,6.9715395,6.4724426,6.632372,48
6.7070885,6.787662,5.816072,5.2939777,49
7.0703454,6.887556,6.5213046,6.702355,50
6.096246,6.631957,4.9598117,5.591338,51
6.9195466,6.841956,6.0077314,6.6612363,52
7.3408084,7.1485276,6.829109,6.849946,53
7.38196,7.1094885,6.9043617,6.805832,54
6.8422523,6.7904506,5.8369756,5.976382,55
6.5980844,6.7517805,5.9728484,6.379806,56
6.4643083,6.5532637,5.562878,5.917155,57
6.9119663,7.013531,6.643068,6.805832,58
6.1953344,6.582789,5.612524,6.0713153,59
7.2249346,6.993027,6.7444496,6.7736998,60
7.019989,7.046501,6.5176463,6.5833564,61
5.884803,6.477482,4.850068,5.0592484,62
6.952035,6.9623537,6.284572,6.4327703,63
6.9333544,6.8813233,6.327294,5.939893,64
6.176383,6.3959594,4.9054627,5.2150087,65
5.490073,5.3251734,5.075826,5.370769,66
5.9773936,5.3737264,4.581458,4.4449215,67
6.916298,6.770726,6.2060046,6.5776377,68
5.6725473,6.3054147,5.848734,5.009144,69
7.2335978,7.0868526,6.62739,6.713792,70
6.81924,6.929548,6.3031893,6.642992,71
6.4832597,6.5252147,6.0501914,5.7089753,72
7.5595613,6.9820375,6.9137683,6.876632,73
6.7312517,6.8296537,6.433771,6.5939765,74
6.47974,6.5730295,5.5461555,5.5423226,75
6.5146646,6.663512,5.7904654,6.0788717,76
6.7323346,6.7626066,5.9646177,6.2896724,77
7.003745,6.8230925,6.093501,6.4673533,78
6.680726,6.4963455,5.853176,5.9219203,79
6.873387,6.896742,6.387653,6.615761,80
7.1150165,6.9446387,6.6898394,6.5662007,81
7.2043586,6.9512,6.591854,6.223501,82
7.4750924,7.008118,6.935717,6.7366657,83
7.173495,6.902975,6.566247,6.5395145,84
5.6422253,6.061667,4.568916,2.6117442,85
6.084875,6.338221,5.520549,5.030384,86
6.7130446,6.875418,6.4477506,6.263054,87
6.5734477,6.565074,5.909093,6.0847263,88
6.8824563,6.88362,6.43155,6.4127555,89
5.9340763,6.2050285,5.2697062,4.9514146,90
7.420404,7.0428925,6.8892064,6.8020196,91
6.0174623,6.6125193,5.937574,5.62102,92
7.3039885,6.935125,6.6038737,6.702355,93
6.675074,6.701649,5.7389903,6.1407228,94
7.388999,6.989091,6.7509823,6.7246842,95
6.436693,6.60969,5.800133,6.213358,96
7.0329843,7.0655284,6.6198125,6.7638965,97
7.2736664,7.05175,6.7512436,6.7894936,98
7.0310893,6.859507,6.4342937,6.446113,99
6.4862375,6.6012425,5.89028,6.543872,100
7.23793,6.793649,6.533847,6.721961,101
5.971979,5.904526,4.9305468,5.381661,102
7.2352223,6.945623,6.4494486,6.6073194,103
5.7532263,5.3881607,4.3128476,4.1105275,104
6.9720693,6.84007,6.357604,6.6435366,105
7.147775,6.255878,6.3629603,6.668044,106
7.005369,6.763673,6.5239177,6.3173113,107
7.0113254,6.8773866,6.5291433,6.701266,108
6.557982,6.7820034,5.8030076,5.7149663,109
7.192446,6.9498878,6.8045473,6.6958194,110
6.945537,6.733389,6.4902105,6.59561,111
3.9717984,4.040493,0.88362557,1.0846407,112
7.3792524,6.9999166,6.77476,6.7791457,113
7.5871763,7.273518,7.001563,6.890792,114
7.48159,7.1209707,6.8944325,6.801475,115
7.2514663,6.964486,6.6608357,6.6846547,116
6.7618446,6.8324423,5.628202,5.8933277,117
6.635494,6.8571286,5.8719893,6.046637,118
6.683941,6.718052,5.9224186,5.859289,119
7.192988,6.8012767,6.3529005,6.48587,120
7.2931595,6.9574327,6.585844,6.5166407,121
6.733079,6.436311,5.7849784,5.7541785,122
7.1493998,6.7142386,6.3914413,6.5765486,123
5.5902443,5.609273,4.3170285,4.3055,124
7.073594,6.7328353,6.174404,5.915657,125
6.895993,6.8399878,6.396406,6.4010463,126
7.0061817,6.720082,6.1895757,6.433587,127
7.1523776,6.7997184,6.48603,6.4360375,128
7.1577926,6.9100285,6.348916,6.2731295,129
7.2206025,6.727853,6.3080235,6.4597287,130
6.3817344,6.715018,5.437457,5.4502826,131
7.2790813,6.886572,6.42149,6.317856,132
7.2433443,7.046829,6.6305256,6.7432013,133
7.026216,6.913637,6.3116817,6.2377295,134
6.9349785,6.9193783,5.940187,6.31241,135
6.908988,6.903467,6.236886,6.4766116,136
6.6586103,6.7178674,5.8165946,5.7293983,137
7.0906506,6.8731217,6.273141,6.416976,138
6.2551665,6.488472,5.1186786,5.059793,139
7.2184367,6.9008427,6.497527,6.558576,140
6.3182473,6.5680265,5.518981,5.359332,141
7.135051,6.7135825,6.2800975,6.2326236,142
7.0386696,7.068809,6.6705036,6.7513704,143
6.8765,6.445988,6.013741,6.077578,144
6.816668,6.8118567,5.4144635,5.807823,145
6.8117948,6.7491565,5.8981185,5.953508,146
6.988584,6.52259,6.3088727,6.2864046,147
6.915215,6.874106,6.217964,6.5419655,148
6.789459,6.4740376,5.799872,5.7675214,149
7.177827,6.845319,6.364267,6.564295,150
6.877042,6.74645,5.9881344,6.0276437,151
7.061682,6.9382415,6.2393847,6.3211236,152
7.256881,7.051422,6.2213535,6.498941,153
7.087672,6.9333205,6.1872077,6.4295025,154
6.83034,7.002705,6.020796,5.982781,155
7.3223987,6.9882708,6.521827,6.706712,156
6.74824,6.6330233,6.2082253,6.2785077,157
6.545799,6.8342466,5.7507486,5.985504,158
7.313735,7.03141,6.551092,6.7192383,159
5.667674,5.9399567,4.7894483,6.0970144,160
6.945808,6.9062557,6.376025,6.6911902,161
7.1193485,6.8996944,6.0912147,6.7274075,162
7.0324426,6.9341407,6.421882,6.769343,163
7.0822577,6.9480834,6.495698,6.7884045,164
6.8002887,6.946443,6.1932173,5.8955064,165
7.470219,7.0993185,6.7726693,6.7884045,166
6.7822847,6.7575216,5.905696,6.5632057,167
7.2178955,6.8491735,6.6216416,6.701266,168
6.379027,6.3487186,5.7557135,6.028597,169
6.923337,6.936929,6.321807,6.1564283,170
6.904115,6.8604913,6.472704,6.6522503,171
6.921713,6.9531684,6.3397055,6.473344,172
6.6945333,6.6913257,5.958347,6.3021984,173
6.3320546,6.723137,5.8685923,5.7114263,174
6.93552,6.978101,6.348067,6.5030255,175
7.072511,6.9062557,6.370538,6.5109224,176
5.7212796,5.279245,4.241776,4.122509,177
5.6238155,5.655201,3.5969024,3.4003482,178
6.6305614,6.608378,6.246799,6.3224854,179
5.6979966,6.157132,5.5398846,5.2209992,180
6.6553783,6.812185,6.5079784,6.6056857,181
6.7513537,6.9374213,6.458855,6.6664104,182
5.7759676,6.12203,4.9639926,4.8533835,183
5.8961735,6.2640796,4.829165,5.8345094,184
7.051665,6.9830217,6.754379,6.793306,185
7.0478745,7.083572,6.8552384,6.8265276,186
6.7158875,6.887556,6.198966,6.3742237,187
6.0407453,6.631342,5.5487685,4.9938946,188
6.3899918,6.6137085,6.0251074,5.6022305,189
5.311389,5.840883,3.197645,4.0223,190
5.786797,6.450909,5.4850125,4.9154696,191
6.4148993,6.7626066,6.2001905,6.5269885,192
6.2511053,6.7318306,5.936006,5.80864,193
5.915666,6.2138863,5.119724,5.650974,194
6.8398156,6.817352,6.2221804,6.393966,195
6.922254,6.926103,6.4595084,6.406084,196
6.413681,7.0148435,6.367533,6.0549426,197
6.685836,6.5580206,6.3082194,6.382257,198
6.602653,6.583609,5.8003945,6.187659,199
5.892925,5.79233,5.437457,5.784677,200
7.3180666,6.997128,6.7752824,6.940897,201
6.8011007,6.7907786,6.5440373,6.0681496,202
6.8094935,6.663553,6.2557645,6.303832,203
6.6743298,6.7514935,6.505627,6.663687,204
6.440619,6.5410438,6.028635,6.217102,205
6.7430286,6.5919747,6.396406,6.3784447,206
6.636973,6.615554,5.9906163,6.0308433,207
6.528675,6.6118226,6.1260324,6.379806,208
6.670878,6.450417,6.15889,6.0619545,209
