task_achievement,coherence_and_cohesion,lexical_resource,grammatical_range,ID
6.016985547803726,5.598093470559668,5.110217733775119,5.97576881785546,1
0.9300021108175356,0.8563767657262185,1.8913003007198705,5.180164108330566,2
5.763047116075562,4.758084242103828,4.99569389170775,5.273816545417702,3
5.890494206943775,5.833305011802439,5.490837410993034,5.516436622971297,4
6.98881371274358,7.463969971727202,6.978902530804179,6.730004010345594,5
5.829270588577883,5.379346262333652,5.549374330761042,5.286061204583651,6
5.9162586055461714,5.498595251674331,5.649324479639239,5.395076307998991,7
7.011386358248971,7.525257621191608,6.766485226824747,6.771172159679134,8
5.502411868144399,4.992919773372475,5.495459279991702,5.045142611760988,9
6.134087560709523,5.7043901167881526,5.64047942163117,5.615796134697344,10
6.051692447409768,6.0041500450207455,5.945577487621401,5.763507347471079,11
6.540804893702,6.903598465934794,6.424076145116549,6.019506190135232,12
6.520963484560137,6.178025110162317,6.084091684178562,6.033077561914652,13
7.634446081318348,7.990187253471617,7.171289294620417,6.843288710731788,14
6.3937315343332,6.793908677283225,5.980466170931477,5.970103497525914,15
6.684850331523589,7.00519821484377,6.484296803287393,6.123596730988491,16
7.031366996872178,7.438901322844996,6.9782955780145,6.954341097516445,17
5.984172303139595,5.530593899600463,5.49763354293346,5.96840080693329,18
6.55247385406307,6.963959167233256,6.482766482505919,6.061035922446631,19
6.285245219301935,6.712549573216713,6.210356392337271,6.2045695172336,20
7.00139529744075,6.776777716859294,6.643962152858136,6.630600038253694,21
6.488549644065578,6.915796551682933,6.01526800723634,6.40993284061819,22
7.777175425125056,7.796963987311294,7.315842287307463,6.908547577275873,23
6.027564100901016,5.507382396969611,5.527621696250517,5.503080259363737,24
7.7404515477550735,7.756598782217564,6.865219367725519,7.274139890310421,25
6.953048467582203,7.797470457868287,6.8592776626723,6.84014464240709,26
6.554808713344272,6.159058046709119,6.071805940738782,6.476537486546202,27
7.015374642461141,7.481788678111747,6.530960715707413,6.103503027038936,28
7.6663097052138784,7.671419588511688,6.845908737641136,6.801077404539498,29
7.393212627201997,7.628279737613812,6.916806006809857,6.713995262188375,30
7.044834754114536,7.104867020517357,6.605603017859032,6.574094886013238,31
6.640460865377457,7.082548148822515,6.5495517292495355,6.1118268850080275,32
7.410154762367199,7.863131703526647,6.625353047203466,6.575908271085403,33
6.470527920731023,6.0915270808765545,5.993416135866637,5.993822565622161,34
6.8752517282792684,6.87466933750446,6.053383605414346,6.369365182582006,35
6.867862940270986,6.875625222422093,6.372047804330575,6.694138697345851,36
6.894740720863018,7.216402483928699,6.490245398304669,6.720340886680582,37
6.344933780158635,5.413111722093651,4.988236342708079,4.93274959947638,38
6.107796352947119,5.711173714159492,5.61994951609212,5.195761824665103,39
7.675021778526473,6.780117251247962,6.294891315507146,5.9868986955756025,40
7.086045426059054,7.860700766716402,6.973128096821459,6.976459401362172,41
7.629134585687952,7.694334645549944,7.165115670014862,6.842271019146524,42
6.062577922658044,5.660323247164115,5.6273030655532486,5.545808708814968,43
7.372011534001875,7.03977852978742,6.468955302684143,6.061864865959374,44
6.1095592917381545,4.950847771362163,5.593083171660788,5.57596819183165,45
7.137699280131101,7.147528186745337,6.596251809642829,6.621822655759022,46
7.007795195306523,7.104990493775742,6.54231027679855,6.149916077487096,47
7.044460680674415,7.896377968432651,6.697231809324454,6.568292975440972,48
6.9713444771179205,6.973969415023416,6.4420679306675535,6.043221824110155,49
7.488516622953302,7.921819195499967,6.99819687827997,7.356107504974558,50
5.936128019931168,5.627893613849391,5.789273995761004,5.50811299694841,51
6.8314032851723985,7.313980469026892,6.364086877458164,5.917069540199365,52
7.153624098588527,7.194676077706522,6.636828314800884,6.640888193225182,53
7.411933275511876,7.865049723183077,6.9020472477925665,6.899145221017256,54
6.3807371103540955,5.889664103634842,6.147680388347792,5.897685348917642,55
7.700247921433682,7.296188067059303,6.827829210586386,6.811543767643934,56
6.551762311684319,6.095458986643957,5.992995533744269,5.522558401710897,57
6.669123358588053,6.411171429734355,5.871437157709688,5.801987239885629,58
6.459708600511801,6.906407585151318,6.4094458902558245,5.975473713488464,59
7.354831154752506,7.815496294449073,6.9753136556341255,7.003835207781549,60
6.981848660166442,7.06997428949926,6.54590507846152,6.533966291493221,61
6.478531987883,6.346294400930096,5.995670593241102,5.941046288908016,62
7.023264157545036,7.364775854275807,6.849911848224329,6.776061599833197,63
6.526943169105729,6.262905240224034,6.031857982762401,5.983645820495267,64
6.025933248386068,5.612190624543822,5.151183598593124,5.079081533100539,65
